Comment,Designator,Footprint,LCSC,Quantity
TS3USB30EDGSR,U2,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,C131998,1
100nF,"C19,C22,C25,C26,C27,C28,C29,C30,C31,C4",C_0402_1005Metric,C1525,10
12pF,C16,C_0402_1005Metric,C1547,1
20pF,"C13,C15,C5,C6",C_0402_1005Metric,C1554,4
10uF,"C1,C11,C12,C2,C7,C8,C9",C_0603_1608Metric,C19702,7
ESD/PW5V,"D11,D15,D19,D21,D25,D28,D3,D31,D34,D9",D_SOD-323,C20615807,10
ESD/S3.3VmSp,"D13,D14,D16,D17,D18,D2,D20,D22,D23,D24,D26,D27,D29,D30,D32,D33,D4,D5,D7,D8",DFN1006-2L_L1.0-W0.6-P0.60-BI,C20617909,20
LED,D1,LED_0603_1608Metric,C2286,1
10k,"R1,R2,R23,R25",R_0402_1005Metric,C25744,4
56k,"R10,R11,R12,R7,R8,R9",R_0402_1005Metric,C25796,6
5.1k,"R20,R21,R3,R4,R5,R6",R_0402_1005Metric,C25905,6
SL2.1S,"U3,U5",SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,C2684433,2
SW_Push,"SW2,SW3",SW-SMD_6P-L5.2-W5.2-P3.70-LS6.4,C318884,2
2k,R13,R_0402_1005Metric,C4109,1
22uF,"C10,C14",C_0805_2012Metric,C45783,2
AMS1117-3.3,U4,SOT-223-3_TabPin2,C6186,1
BAT/10V,"D10,D12,D6",D_SOD-323,C7502695,3
12MHz,"Y1,Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,2
USB_A,J4,USB_A_Kycon_KUSBX-AS1N-B_Horizontal,,1
USB_C_Connecter,J5,usbc_reflow,,1
USB_C_Connecter,J6,usbc_reflow,,1
USB_C_Connecter,J7,usbc_reflow,,1
USB_A,J8,USB_A_Kycon_KUSBX-AS1N-B_Horizontal,,1
USB_A,J9,USB_A_Kycon_KUSBX-AS1N-B_Horizontal,,1
USB_A,J10,USB_A_Kycon_KUSBX-AS1N-B_Horizontal,,1
100uF,C23,C_Elec_6.3x5.4,,1
100uF,C24,C_Elec_6.3x5.4,,1
ESP32-C3-WROOM-02,U1,ESP32-C3-WROOM-02,,1
100uF,C3,C_Elec_6.3x5.4,,1
USB_C_Connecter,J3,usbc_reflow,,1
USB_C_Connecter,J1,usbc_reflow,,1
USB_C_Connecter,J2,usbc_reflow,,1
100uF,C17,C_Elec_6.3x5.4,,1
100uF,C18,C_Elec_6.3x5.4,,1
100uF,C20,C_Elec_6.3x5.4,,1
100uF,C21,C_Elec_6.3x5.4,,1
