Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,110.1598,-7.3914,0.0,bottom
C10,22uF,C_0805_2012Metric,96.012,-16.19,270.0,bottom
C11,10uF,C_0603_1608Metric,43.434,-14.146,270.0,bottom
C12,10uF,C_0603_1608Metric,44.958,-14.146,270.0,bottom
C13,20pF,C_0402_1005Metric,40.806,-18.972,180.0,bottom
C14,22uF,C_0805_2012Metric,101.6,-22.098,0.0,bottom
C15,20pF,C_0402_1005Metric,40.806,-13.384,180.0,bottom
C16,12pF,C_0402_1005Metric,99.568,-10.64,270.0,bottom
C17,100uF,C_Elec_6.3x5.4,105.41,-33.782,90.0,top
C18,100uF,C_Elec_6.3x5.4,119.634,-33.782,90.0,top
C19,100nF,C_0402_1005Metric,110.1598,-8.6614,0.0,bottom
C2,10uF,C_0603_1608Metric,46.736,-14.146,90.0,bottom
C20,100uF,C_Elec_6.3x5.4,91.44,-33.782,90.0,top
C21,100uF,C_Elec_6.3x5.4,53.848,-27.9425,90.0,top
C22,100nF,C_0402_1005Metric,99.568,-4.57,90.0,bottom
C23,100uF,C_Elec_6.3x5.4,34.036,-27.94,90.0,top
C24,100uF,C_Elec_6.3x5.4,13.97,-27.94,90.0,top
C25,100nF,C_0402_1005Metric,120.142,-37.366,270.0,bottom
C26,100nF,C_0402_1005Metric,106.172,-37.338,270.0,bottom
C27,100nF,C_0402_1005Metric,92.075,-37.465,270.0,bottom
C28,100nF,C_0402_1005Metric,73.914,-31.496,270.0,bottom
C29,100nF,C_0402_1005Metric,53.848,-31.496,270.0,bottom
C3,100uF,C_Elec_6.3x5.4,73.914,-27.94,90.0,top
C30,100nF,C_0402_1005Metric,34.036,-31.4452,270.0,bottom
C31,100nF,C_0402_1005Metric,13.97,-31.524,270.0,bottom
C4,100nF,C_0402_1005Metric,90.424,-7.874,180.0,bottom
C5,20pF,C_0402_1005Metric,74.902,-21.336,180.0,bottom
C6,20pF,C_0402_1005Metric,74.93,-15.748,180.0,bottom
C7,10uF,C_0603_1608Metric,80.772,-15.494,90.0,bottom
C8,10uF,C_0603_1608Metric,77.47,-15.494,270.0,bottom
C9,10uF,C_0603_1608Metric,78.994,-15.494,270.0,bottom
D1,LED,LED_0603_1608Metric,94.234,-18.5675,90.0,bottom
D10,BAT/10V,D_SOD-323,58.2,-8.382,180.0,bottom
D11,ESD/PW5V,D_SOD-323,129.3,-19.15,270.0,bottom
D12,BAT/10V,D_SOD-323,128.27,-16.51,180.0,bottom
D13,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,62.23,-4.064,270.0,bottom
D14,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,78.486,-31.75,270.0,bottom
D15,ESD/PW5V,D_SOD-323,72.4,-31.7,90.0,bottom
D16,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,76.454,-31.75,270.0,bottom
D17,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,109.22,-42.164,90.0,bottom
D18,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,108.204,-42.164,90.0,bottom
D19,ESD/PW5V,D_SOD-323,104.7,-37.7,90.0,bottom
D2,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,75.356,-4.064,270.0,bottom
D20,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,123.1646,-42.464,90.0,bottom
D21,ESD/PW5V,D_SOD-323,118.6,-37.7,90.0,bottom
D22,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,95.25,-42.164,90.0,bottom
D23,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,122.174,-42.464,90.0,bottom
D24,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,94.2594,-42.164,90.0,bottom
D25,ESD/PW5V,D_SOD-323,90.65,-37.65,90.0,bottom
D26,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,58.42,-31.75,270.0,bottom
D27,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,56.388,-31.75,270.0,bottom
D28,ESD/PW5V,D_SOD-323,52.35,-31.6,90.0,bottom
D29,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,38.608,-31.768,270.0,bottom
D3,ESD/PW5V,D_SOD-323,72.1,-10.1,0.0,bottom
D30,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,36.576,-31.768,270.0,bottom
D31,ESD/PW5V,D_SOD-323,32.55,-31.65,90.0,bottom
D32,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,18.542,-31.768,270.0,bottom
D33,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,16.51,-31.768,270.0,bottom
D34,ESD/PW5V,D_SOD-323,12.55,-31.6,90.0,bottom
D4,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,133.604,-13.208,0.0,bottom
D5,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,133.604,-14.224,0.0,bottom
D6,BAT/10V,D_SOD-323,72.136,-8.128,180.0,bottom
D7,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,76.454,-4.064,270.0,bottom
D8,ESD/S3.3VmSp,DFN1006-2L_L1.0-W0.6-P0.60-BI,61.214,-4.064,270.0,bottom
D9,ESD/PW5V,D_SOD-323,58.15,-10.35,0.0,bottom
J1,USB_C_Connecter,usbc_reflow,133.86,-14.0,90.0,top
J10,USB_A,USB_A_Kycon_KUSBX-AS1N-B_Horizontal,17.5,-36.049,0.0,top
J2,USB_C_Connecter,usbc_reflow,75.75,-3.64,180.0,top
J3,USB_C_Connecter,usbc_reflow,61.75,-3.64,180.0,top
J4,USB_A,USB_A_Kycon_KUSBX-AS1N-B_Horizontal,77.5,-36.049,0.0,top
J5,USB_C_Connecter,usbc_reflow,108.5,-42.36,0.0,top
J6,USB_C_Connecter,usbc_reflow,122.5,-42.36,0.0,top
J7,USB_C_Connecter,usbc_reflow,94.5,-42.36,0.0,top
J8,USB_A,USB_A_Kycon_KUSBX-AS1N-B_Horizontal,57.5,-36.049,0.0,top
J9,USB_A,USB_A_Kycon_KUSBX-AS1N-B_Horizontal,37.5,-36.049,0.0,top
R1,10k,R_0402_1005Metric,110.1598,-9.8044,180.0,bottom
R10,56k,R_0402_1005Metric,110.236,-42.418,270.0,bottom
R11,56k,R_0402_1005Metric,93.218,-42.418,270.0,bottom
R12,56k,R_0402_1005Metric,96.266,-42.418,270.0,bottom
R13,2k,R_0402_1005Metric,94.234,-15.7735,270.0,bottom
R2,10k,R_0402_1005Metric,108.966,-16.9926,90.0,bottom
